time,running_machine,laptop2,washing_machine,dish_washer,fridge,microwave,toaster,playstation,modem,cooker,laptop,monitor,speakers,server,router,server_hdd,kettle,rice_cooker,gross,app_sum,running_machine_on,washing_machine_on,dish_washer_on,microwave_on,toaster_on,kettle_on,rice_cooker_on,cooker_on
2013-09-01 00:00:01,1,19,3,1,11,0,0,1,9,0,58,60,10,14,6,0,1,1,195,7,0,0,0,0,0,0,0,0
2013-09-01 00:00:07,1,19,4,1,10,0,0,1,9,0,58,59,10,14,6,0,1,1,194,8,0,0,0,0,0,0,0,0
2013-09-01 00:00:13,1,18,3,1,10,0,0,1,9,0,58,60,10,14,6,0,1,1,193,7,0,0,0,0,0,0,0,0
2013-09-01 00:00:19,1,19,3,1,11,0,0,1,9,0,58,60,10,14,7,0,1,1,196,7,0,0,0,0,0,0,0,0
2013-09-01 00:00:25,1,19,4,1,10,0,1,1,9,0,58,60,11,15,6,0,1,1,198,9,0,0,0,0,0,0,0,0
2013-09-01 00:00:31,1,19,3,1,10,0,0,1,9,0,58,59,10,14,6,0,1,1,193,7,0,0,0,0,0,0,0,0
2013-09-01 00:00:37,1,19,3,1,10,0,0,1,9,0,58,60,10,14,6,0,1,1,194,7,0,0,0,0,0,0,0,0
2013-09-01 00:00:43,1,19,3,1,11,0,0,1,9,0,58,60,10,14,6,0,1,1,195,7,0,0,0,0,0,0,0,0
2013-09-01 00:00:49,1,19,4,1,10,0,0,1,9,0,57,60,10,15,7,0,1,1,196,8,0,0,0,0,0,0,0,0
2013-09-01 00:00:55,1,19,3,1,11,0,1,1,9,0,58,59,10,14,6,0,1,1,195,8,0,0,0,0,0,0,0,0
2013-09-01 00:01:01,1,18,3,1,11,0,0,1,9,0,58,59,10,15,6,0,1,1,194,7,0,0,0,0,0,0,0,0
2013-09-01 00:01:07,1,19,4,1,10,0,0,1,9,0,58,60,10,14,6,0,1,1,195,8,0,0,0,0,0,0,0,0
2013-09-01 00:01:13,1,19,4,1,10,0,0,1,9,0,58,60,10,14,7,0,1,1,196,8,0,0,0,0,0,0,0,0
2013-09-01 00:01:19,1,19,3,1,11,0,0,1,9,0,59,60,11,14,6,0,1,1,197,7,0,0,0,0,0,0,0,0
2013-09-01 00:01:25,1,19,4,1,11,0,1,1,9,0,58,59,10,16,7,0,1,1,199,9,0,0,0,0,0,0,0,0
2013-09-01 00:01:31,1,19,3,1,10,0,0,1,9,0,57,59,10,16,6,0,1,1,194,7,0,0,0,0,0,0,0,0
2013-09-01 00:01:37,1,19,3,1,11,0,0,1,9,0,58,60,11,16,7,0,1,1,199,7,0,0,0,0,0,0,0,0
2013-09-01 00:01:43,1,19,4,1,11,0,0,1,9,0,58,59,10,16,6,0,1,1,197,8,0,0,0,0,0,0,0,0
2013-09-01 00:01:49,1,18,3,1,10,0,0,1,9,0,58,59,10,16,6,0,1,1,194,7,0,0,0,0,0,0,0,0
2013-09-01 00:01:55,1,19,3,1,10,0,1,1,9,0,58,59,10,16,7,0,1,1,197,8,0,0,0,0,0,0,0,0
2013-09-01 00:02:01,1,19,3,1,10,0,0,1,9,0,58,59,10,16,6,0,1,1,195,7,0,0,0,0,0,0,0,0
2013-09-01 00:02:07,1,19,4,1,10,0,0,1,9,0,58,59,10,17,7,0,1,1,198,8,0,0,0,0,0,0,0,0
2013-09-01 00:02:13,1,20,4,1,11,0,0,1,9,0,58,59,10,16,6,0,1,1,198,8,0,0,0,0,0,0,0,0
2013-09-01 00:02:19,1,19,4,1,10,0,0,1,9,0,58,59,10,16,7,0,1,1,197,8,0,0,0,0,0,0,0,0
2013-09-01 00:02:25,1,19,3,1,11,0,1,1,9,0,58,59,11,16,6,0,1,1,198,8,0,0,0,0,0,0,0,0
2013-09-01 00:02:31,1,19,4,0,10,0,0,1,9,0,58,59,10,16,6,0,1,1,195,7,0,0,0,0,0,0,0,0
2013-09-01 00:02:37,1,18,4,0,11,0,1,1,9,0,58,59,10,16,6,0,1,1,196,8,0,0,0,0,0,0,0,0
2013-09-01 00:02:43,1,18,3,1,10,0,1,1,9,0,58,59,10,16,7,0,1,1,196,8,0,0,0,0,0,0,0,0
2013-09-01 00:02:49,1,18,3,1,11,0,1,1,9,0,58,59,10,16,6,0,1,1,196,8,0,0,0,0,0,0,0,0
2013-09-01 00:02:55,1,19,4,1,11,0,1,1,9,0,57,59,11,16,7,0,1,1,199,9,0,0,0,0,0,0,0,0
2013-09-01 00:03:01,1,18,4,1,11,0,0,1,9,0,58,60,10,16,7,0,1,1,198,8,0,0,0,0,0,0,0,0
2013-09-01 00:03:07,1,31,3,1,11,0,1,1,9,0,58,59,10,16,6,0,1,1,209,8,0,0,0,0,0,0,0,0
